t_s,T20_C,T30_C
1.749000000000000000e+03,4.924351812017444985e+00,7.214531016177301304e+00
1.750000000000000000e+03,4.920548373174116641e+00,7.208912074514629786e+00
1.751000000000000000e+03,4.916747925181789824e+00,7.203297622614860174e+00
1.752000000000000000e+03,4.912950465607658579e+00,7.197687656717698168e+00
1.753000000000000000e+03,4.909155992021000614e+00,7.192082173066232542e+00
1.754000000000000000e+03,4.905364501993204840e+00,7.186481167906963563e+00
1.755000000000000000e+03,4.901575993097750938e+00,7.180884637489824307e+00
1.756000000000000000e+03,4.897790462910220022e+00,7.175292578068102500e+00
1.757000000000000000e+03,4.894007909008276869e+00,7.169704985898515126e+00
1.758000000000000000e+03,4.890228328971682359e+00,7.164121857241139146e+00
1.759000000000000000e+03,4.886451720382298802e+00,7.158543188359480780e+00
1.760000000000000000e+03,4.882678080824050859e+00,7.152968975520391126e+00
1.761000000000000000e+03,4.878907407882972613e+00,7.147399214994138994e+00
1.762000000000000000e+03,4.875139699147160499e+00,7.141833903054318533e+00
1.763000000000000000e+03,4.871374952206818598e+00,7.136273035977973578e+00
1.764000000000000000e+03,4.867613164654200020e+00,7.130716610045449322e+00
1.765000000000000000e+03,4.863854334083658415e+00,7.125164621540497123e+00
1.766000000000000000e+03,4.860098458091599127e+00,7.119617066750202561e+00
1.767000000000000000e+03,4.856345534276528930e+00,7.114073941965063597e+00
1.768000000000000000e+03,4.852595560239008954e+00,7.108535243478875110e+00
1.769000000000000000e+03,4.848848533581673337e+00,7.103000967588828374e+00
1.770000000000000000e+03,4.845104451909231891e+00,7.097471110595440891e+00
1.771000000000000000e+03,4.841363312828439014e+00,7.091945668802602576e+00
1.772000000000000000e+03,4.837625113948127442e+00,7.086424638517494934e+00
1.773000000000000000e+03,4.833889852879199367e+00,7.080908016050730502e+00
1.774000000000000000e+03,4.830157527234596238e+00,7.075395797716169000e+00
1.775000000000000000e+03,4.826428134629333400e+00,7.069887979831039004e+00
1.776000000000000000e+03,4.822701672680477003e+00,7.064384558715901541e+00
1.777000000000000000e+03,4.818978139007152883e+00,7.058885530694668731e+00
1.778000000000000000e+03,4.815257531230519028e+00,7.053390892094509645e+00
1.779000000000000000e+03,4.811539846973806434e+00,7.047900639245988863e+00
1.780000000000000000e+03,4.807825083862272919e+00,7.042414768482918142e+00
1.781000000000000000e+03,4.804113239523248424e+00,7.036933276142496752e+00
1.782000000000000000e+03,4.800404311586082606e+00,7.031456158565165815e+00
1.783000000000000000e+03,4.796698297682186585e+00,7.025983412094720215e+00
1.784000000000000000e+03,4.792995195444984091e+00,7.020515033078208234e+00
1.785000000000000000e+03,4.789295002509986965e+00,7.015051017866049676e+00
1.786000000000000000e+03,4.785597716514681466e+00,7.009591362811887549e+00
1.787000000000000000e+03,4.781903335098633079e+00,7.004136064272707074e+00
1.788000000000000000e+03,4.778211855903423455e+00,6.998685118608765521e+00
1.789000000000000000e+03,4.774523276572672614e+00,6.993238522183605532e+00
1.790000000000000000e+03,4.770837594752011412e+00,6.987796271364054235e+00
1.791000000000000000e+03,4.767154808089111739e+00,6.982358362520246331e+00
1.792000000000000000e+03,4.763474914233677637e+00,6.976924792025516631e+00
1.793000000000000000e+03,4.759797910837414214e+00,6.971495556256583015e+00
1.794000000000000000e+03,4.756123795554072053e+00,6.966070651593321728e+00
1.795000000000000000e+03,4.752452566039407245e+00,6.960650074418953004e+00
1.796000000000000000e+03,4.748784219951189378e+00,6.955233821119941595e+00
1.797000000000000000e+03,4.745118754949219309e+00,6.949821888086009203e+00
1.798000000000000000e+03,4.741456168695291851e+00,6.944414271710098951e+00
1.799000000000000000e+03,4.737796458853216208e+00,6.939010968388487299e+00
1.800000000000000000e+03,4.734139623088839954e+00,6.933611974520612620e+00
1.801000000000000000e+03,4.730485659069978865e+00,6.928217286509224415e+00
1.802000000000000000e+03,4.726834564466471988e+00,6.922826900760276736e+00
1.803000000000000000e+03,4.723186336950161213e+00,6.917440813683004563e+00
1.804000000000000000e+03,4.719540974194899263e+00,6.912059021689845650e+00
1.805000000000000000e+03,4.715898473876536379e+00,6.906681521196452955e+00
1.806000000000000000e+03,4.712258833672891889e+00,6.901308308621777243e+00
1.807000000000000000e+03,4.708622051263825270e+00,6.895939380387943629e+00
1.808000000000000000e+03,4.704988124331169530e+00,6.890574732920320855e+00
1.809000000000000000e+03,4.701357050558741868e+00,6.885214362647482211e+00
1.810000000000000000e+03,4.697728827632361437e+00,6.879858266001255274e+00
1.811000000000000000e+03,4.694103453239850232e+00,6.874506439416627757e+00
1.812000000000000000e+03,4.690480925070975360e+00,6.869158879331836332e+00
1.813000000000000000e+03,4.686861240817540519e+00,6.863815582188310671e+00
1.814000000000000000e+03,4.683244398173283862e+00,6.858476544430704536e+00
1.815000000000000000e+03,4.679630394833970364e+00,6.853141762506852253e+00
1.816000000000000000e+03,4.676019228497296787e+00,6.847811232867791809e+00
1.817000000000000000e+03,4.672410896862998264e+00,6.842484951967755080e+00
1.818000000000000000e+03,4.668805397632719512e+00,6.837162916264174051e+00
1.819000000000000000e+03,4.665202728510130292e+00,6.831845122217642619e+00
1.820000000000000000e+03,4.661602887200834822e+00,6.826531566291990316e+00
1.821000000000000000e+03,4.658005871412445487e+00,6.821222244954174840e+00
1.822000000000000000e+03,4.654411678854504686e+00,6.815917154674380640e+00
1.823000000000000000e+03,4.650820307238554108e+00,6.810616291925928323e+00
1.824000000000000000e+03,4.647231754278073446e+00,6.805319653185333273e+00
1.825000000000000000e+03,4.643646017688528360e+00,6.800027234932254139e+00
1.826000000000000000e+03,4.640063095187315412e+00,6.794739033649565663e+00
1.827000000000000000e+03,4.636482984493830450e+00,6.789455045823243218e+00
1.828000000000000000e+03,4.632905683329402891e+00,6.784175267942460508e+00
1.829000000000000000e+03,4.629331189417301040e+00,6.778899696499564698e+00
1.830000000000000000e+03,4.625759500482775621e+00,6.773628327990017794e+00
1.831000000000000000e+03,4.622190614253030461e+00,6.768361158912433062e+00
1.832000000000000000e+03,4.618624528457195844e+00,6.763098185768611437e+00
1.833000000000000000e+03,4.615061240826367595e+00,6.757839405063435834e+00
1.834000000000000000e+03,4.611500749093579543e+00,6.752584813305000822e+00
1.835000000000000000e+03,4.607943050993812406e+00,6.747334407004483836e+00
1.836000000000000000e+03,4.604388144263998228e+00,6.742088182676201136e+00
1.837000000000000000e+03,4.600836026642982191e+00,6.736846136837650434e+00
1.838000000000000000e+03,4.597286695871582118e+00,6.731608266009372343e+00
1.839000000000000000e+03,4.593740149692549402e+00,6.726374566715120906e+00
1.840000000000000000e+03,4.590196385850530802e+00,6.721145035481708163e+00
1.841000000000000000e+03,4.586655402092160827e+00,6.715919668839115175e+00
1.842000000000000000e+03,4.583117196165971130e+00,6.710698463320388107e+00
1.843000000000000000e+03,4.579581765822435813e+00,6.705481415461716388e+00
1.844000000000000000e+03,4.576049108813943889e+00,6.700268521802382082e+00
1.845000000000000000e+03,4.572519222894837476e+00,6.695059778884810520e+00
1.846000000000000000e+03,4.568992105821347849e+00,6.689855183254477922e+00
1.847000000000000000e+03,4.565467755351659385e+00,6.684654731459998445e+00
1.848000000000000000e+03,4.561946169245861604e+00,6.679458420053058454e+00
1.849000000000000000e+03,4.558427345265972264e+00,6.674266245588457380e+00
1.850000000000000000e+03,4.554911281175911597e+00,6.669078204624071304e+00
1.851000000000000000e+03,4.551397974741526298e+00,6.663894293720884932e+00
1.852000000000000000e+03,4.547887423730571754e+00,6.658714509442933860e+00
1.853000000000000000e+03,4.544379625912729814e+00,6.653538848357354318e+00
1.854000000000000000e+03,4.540874579059566152e+00,6.648367307034359186e+00
1.855000000000000000e+03,4.537372280944574676e+00,6.643199882047257532e+00
1.856000000000000000e+03,4.533872729343151775e+00,6.638036569972394219e+00
1.857000000000000000e+03,4.530375922032594538e+00,6.632877367389197865e+00
1.858000000000000000e+03,4.526881856792099867e+00,6.627722270880166633e+00
1.859000000000000000e+03,4.523390531402790238e+00,6.622571277030857573e+00
1.860000000000000000e+03,4.519901943647655962e+00,6.617424382429882179e+00
1.861000000000000000e+03,4.516416091311593384e+00,6.612281583668924156e+00
1.862000000000000000e+03,4.512932972181405766e+00,6.607142877342724319e+00
1.863000000000000000e+03,4.509452584045770429e+00,6.602008260049029076e+00
1.864000000000000000e+03,4.505974924695289374e+00,6.596877728388698792e+00
1.865000000000000000e+03,4.502499991922416456e+00,6.591751278965572780e+00
1.866000000000000000e+03,4.499027783521518664e+00,6.586628908386592762e+00
1.867000000000000000e+03,4.495558297288847704e+00,6.581510613261698062e+00
