t,T,a2
5.67,0.2080415109,-0.0269820693
5.68,0.2076424052,-0.02698091346
5.69,0.2072444468,-0.02697976981
5.7,0.2068476313,-0.0269786382
5.71,0.2064519543,-0.02697751849
5.72,0.2060574114,-0.02697641056
5.73,0.2056639984,-0.02697531426
5.74,0.2052717109,-0.02697422947
5.75,0.2048805447,-0.02697315604
5.76,0.2044904954,-0.02697209386
5.77,0.2041015588,-0.02697104279
5.78,0.2037137307,-0.02697000271
5.79,0.2033270069,-0.02696897349
5.8,0.2029413832,-0.026967955
5.81,0.2025568555,-0.02696694713
5.82,0.2021734195,-0.02696594976
5.83,0.2017910712,-0.02696496276
5.84,0.2014098064,-0.02696398602
5.85,0.2010296211,-0.02696301943
5.86,0.2006505111,-0.02696206286
5.87,0.2002724725,-0.0269611162
5.88,0.1998955012,-0.02696017935
5.89,0.1995195932,-0.02695925219
5.9,0.1991447445,-0.02695833461
5.91,0.1987709511,-0.0269574265
5.92,0.1983982091,-0.02695652776
5.93,0.1980265144,-0.02695563829
5.94,0.1976558633,-0.02695475797
5.95,0.1972862518,-0.02695388671
5.96,0.196917676,-0.02695302441
5.97,0.1965501321,-0.02695217096
5.98,0.1961836161,-0.02695132626
5.99,0.1958181244,-0.02695049022
6,0.195453653,-0.02694966274
6.01,0.1950901981,-0.02694884373
6.02,0.1947277561,-0.02694803308
6.03,0.1943663231,-0.02694723072
6.04,0.1940058954,-0.02694643653
6.05,0.1936464693,-0.02694565045
6.06,0.193288041,-0.02694487237
6.07,0.1929306069,-0.0269441022
6.08,0.1925741633,-0.02694333986
6.09,0.1922187065,-0.02694258526
6.1,0.1918642329,-0.02694183832
6.11,0.191510739,-0.02694109895
6.12,0.191158221,-0.02694036707
6.13,0.1908066754,-0.02693964259
6.14,0.1904560986,-0.02693892543
6.15,0.190106487,-0.02693821552
6.16,0.1897578372,-0.02693751277
6.17,0.1894101456,-0.0269368171
6.18,0.1890634087,-0.02693612844
6.19,0.1887176229,-0.02693544671
6.2,0.1883727849,-0.02693477183
6.21,0.1880288912,-0.02693410374
6.22,0.1876859383,-0.02693344234
6.23,0.1873439227,-0.02693278758
6.24,0.1870028412,-0.02693213937
6.25,0.1866626902,-0.02693149765
6.26,0.1863234664,-0.02693086235
6.27,0.1859851664,-0.02693023339
6.28,0.185647787,-0.02692961071
6.29,0.1853113246,-0.02692899424
6.3,0.1849757761,-0.02692838391
6.31,0.1846411381,-0.02692777966
6.32,0.1843074074,-0.02692718141
6.33,0.1839745806,-0.02692658911
6.34,0.1836426544,-0.02692600269
6.35,0.1833116258,-0.02692542208
6.36,0.1829814913,-0.02692484723
6.37,0.1826522478,-0.02692427806
6.38,0.1823238922,-0.02692371453
6.39,0.1819964211,-0.02692315657
6.4,0.1816698314,-0.02692260411
6.41,0.1813441201,-0.02692205711
6.42,0.1810192838,-0.02692151549
6.43,0.1806953195,-0.02692097921
6.44,0.1803722241,-0.0269204482
6.45,0.1800499945,-0.02691992242
6.46,0.1797286276,-0.02691940179
6.47,0.1794081202,-0.02691888628
6.48,0.1790884694,-0.02691837582
6.49,0.1787696721,-0.02691787036
6.5,0.1784517252,-0.02691736984
6.51,0.1781346258,-0.02691687422
6.52,0.1778183708,-0.02691638344
6.53,0.1775029572,-0.02691589745
6.54,0.1771883821,-0.0269154162
6.55,0.1768746424,-0.02691493964
6.56,0.1765617353,-0.02691446771
6.57,0.1762496578,-0.02691400038
6.58,0.1759384069,-0.02691353758
6.59,0.1756279797,-0.02691307928
6.6,0.1753183734,-0.02691262543
6.61,0.175009585,-0.02691217597
6.62,0.1747016116,-0.02691173087
6.63,0.1743944505,-0.02691129007
6.64,0.1740880987,-0.02691085353
6.65,0.1737825534,-0.02691042121
6.66,0.1734778117,-0.02690999306
6.67,0.173173871,-0.02690956903
6.68,0.1728707282,-0.02690914909
6.69,0.1725683808,-0.0269087332
6.7,0.1722668258,-0.0269083213
6.71,0.1719660606,-0.02690791336
6.72,0.1716660823,-0.02690750933
6.73,0.1713668882,-0.02690710918
6.74,0.1710684756,-0.02690671286
6.75,0.1707708418,-0.02690632034
6.76,0.170473984,-0.02690593157
6.77,0.1701778996,-0.02690554652
6.78,0.1698825859,-0.02690516514
6.79,0.1695880402,-0.02690478741
6.8,0.1692942598,-0.02690441327
6.81,0.1690012422,-0.0269040427
6.82,0.1687089846,-0.02690367565
6.83,0.1684174844,-0.02690331209
6.84,0.1681267391,-0.02690295199
6.85,0.167836746,-0.0269025953
6.86,0.1675475025,-0.026902242
6.87,0.167259006,-0.02690189204
6.88,0.1669712541,-0.0269015454
6.89,0.166684244,-0.02690120204
6.9,0.1663979733,-0.02690086192
6.91,0.1661124394,-0.02690052501
6.92,0.1658276399,-0.02690019128
6.93,0.1655435721,-0.0268998607
6.94,0.1652602336,-0.02689953323
6.95,0.1649776219,-0.02689920884
6.96,0.1646957345,-0.0268988875
6.97,0.164414569,-0.02689856918
6.98,0.1641341228,-0.02689825385
6.99,0.1638543935,-0.02689794148
7,0.1635753787,-0.02689763203
7.01,0.1632970759,-0.02689732548
7.02,0.1630194828,-0.0268970218
7.03,0.1627425969,-0.02689672096
7.04,0.1624664158,-0.02689642292
7.05,0.1621909371,-0.02689612767
7.06,0.1619161585,-0.02689583517
7.07,0.1616420776,-0.0268955454
7.08,0.1613686919,-0.02689525832
7.09,0.1610959993,-0.02689497391
7.1,0.1608239972,-0.02689469214
7.11,0.1605526835,-0.02689441299
7.12,0.1602820557,-0.02689413643
7.13,0.1600121116,-0.02689386244
7.14,0.1597428489,-0.02689359097
7.15,0.1594742652,-0.02689332203
7.16,0.1592063583,-0.02689305556
7.17,0.158939126,-0.02689279156
7.18,0.1586725659,-0.02689253
7.19,0.1584066758,-0.02689227085
7.2,0.1581414534,-0.02689201408
7.21,0.1578768966,-0.02689175968
7.22,0.1576130032,-0.02689150762
7.23,0.1573497707,-0.02689125788
7.24,0.1570871972,-0.02689101043
7.25,0.1568252804,-0.02689076525
7.26,0.156564018,-0.02689052232
7.27,0.156303408,-0.02689028162
7.28,0.1560434481,-0.02689004311
7.29,0.1557841362,-0.02688980679
7.3,0.1555254702,-0.02688957263
7.31,0.1552674478,-0.02688934061
7.32,0.155010067,-0.0268891107
7.33,0.1547533256,-0.02688888289
7.34,0.1544972216,-0.02688865715
7.35,0.1542417527,-0.02688843347
7.36,0.153986917,-0.02688821182
7.37,0.1537327123,-0.02688799218
7.38,0.1534791365,-0.02688777454
