t,D_L1,D_KL,D_e
47.5,0.5075175356,0.2137844743,0.2137844743
47.6,0.5075079568,0.2137532312,0.2137532312
47.7,0.5074985068,0.2137224722,0.2137224722
47.8,0.5074891839,0.2136921899,0.2136921899
47.9,0.5074799864,0.213662377,0.213662377
48,0.5074709125,0.2136330263,0.2136330263
48.1,0.5074619606,0.2136041309,0.2136041309
48.2,0.5074531292,0.2135756838,0.2135756838
48.3,0.5074444164,0.2135476781,0.2135476781
48.4,0.5074358209,0.2135201072,0.2135201072
48.5,0.5074273409,0.2134929643,0.2134929643
48.6,0.5074189749,0.2134662431,0.2134662431
48.7,0.5074107215,0.2134399369,0.2134399369
48.8,0.507402579,0.2134140396,0.2134140396
48.9,0.507394546,0.2133885448,0.2133885448
49,0.5073866211,0.2133634465,0.2133634465
49.1,0.5073788027,0.2133387385,0.2133387385
49.2,0.5073710894,0.2133144149,0.2133144149
49.3,0.5073634798,0.2132904698,0.2132904698
49.4,0.5073559726,0.2132668975,0.2132668975
49.5,0.5073485663,0.2132436922,0.2132436922
49.6,0.5073412596,0.2132208484,0.2132208484
49.7,0.5073340512,0.2131983605,0.2131983605
49.8,0.5073269397,0.213176223,0.213176223
49.9,0.5073199238,0.2131544307,0.2131544307
50,0.5073130023,0.2131329782,0.2131329782
50.1,0.5073061738,0.2131118603,0.2131118603
50.2,0.5072994372,0.213091072,0.213091072
50.3,0.5072927911,0.2130706081,0.2130706081
50.4,0.5072862345,0.2130504637,0.2130504637
50.5,0.5072797659,0.2130306339,0.2130306339
50.6,0.5072733844,0.2130111138,0.2130111138
50.7,0.5072670887,0.2129918989,0.2129918989
50.8,0.5072608776,0.2129729842,0.2129729842
50.9,0.5072547501,0.2129543654,0.2129543654
51,0.5072487049,0.2129360377,0.2129360377
51.1,0.507242741,0.2129179968,0.2129179968
51.2,0.5072368574,0.2129002382,0.2129002382
51.3,0.5072310528,0.2128827577,0.2128827577
51.4,0.5072253263,0.2128655509,0.2128655509
51.5,0.5072196768,0.2128486137,0.2128486137
51.6,0.5072141033,0.2128319419,0.2128319419
51.7,0.5072086047,0.2128155314,0.2128155314
51.8,0.50720318,0.2127993782,0.2127993782
51.9,0.5071978283,0.2127834784,0.2127834784
52,0.5071925486,0.212767828,0.212767828
52.1,0.5071873399,0.2127524233,0.2127524233
52.2,0.5071822012,0.2127372605,0.2127372605
52.3,0.5071771316,0.2127223358,0.2127223358
52.4,0.5071721301,0.2127076455,0.2127076455
52.5,0.5071671959,0.2126931862,0.2126931862
52.6,0.5071623281,0.2126789541,0.2126789541
52.7,0.5071575257,0.2126649458,0.2126649458
52.8,0.5071527879,0.2126511579,0.2126511579
52.9,0.5071481138,0.212637587,0.212637587
53,0.5071435026,0.2126242297,0.2126242297
53.1,0.5071389534,0.2126110827,0.2126110827
53.2,0.5071344653,0.2125981428,0.2125981428
53.3,0.5071300376,0.2125854068,0.2125854068
53.4,0.5071256694,0.2125728716,0.2125728716
53.5,0.50712136,0.212560534,0.212560534
53.6,0.5071171085,0.212548391,0.212548391
53.7,0.5071129142,0.2125364396,0.2125364396
53.8,0.5071087763,0.2125246769,0.2125246769
53.9,0.507104694,0.2125130998,0.2125130998
54,0.5071006666,0.2125017057,0.2125017057
54.1,0.5070966934,0.2124904915,0.2124904915
54.2,0.5070927736,0.2124794546,0.2124794546
54.3,0.5070889065,0.2124685923,0.2124685923
54.4,0.5070850914,0.2124579017,0.2124579017
54.5,0.5070813277,0.2124473803,0.2124473803
54.6,0.5070776145,0.2124370254,0.2124370254
54.7,0.5070739512,0.2124268345,0.2124268345
54.8,0.5070703372,0.2124168049,0.2124168049
54.9,0.5070667718,0.2124069343,0.2124069343
55,0.5070632544,0.2123972202,0.2123972202
55.1,0.5070597843,0.2123876601,0.2123876601
55.2,0.5070563608,0.2123782516,0.2123782516
55.3,0.5070529833,0.2123689925,0.2123689925
55.4,0.5070496513,0.2123598803,0.2123598803
55.5,0.507046364,0.2123509128,0.2123509128
55.6,0.507043121,0.2123420877,0.2123420877
55.7,0.5070399216,0.2123334029,0.2123334029
55.8,0.5070367652,0.2123248562,0.2123248562
55.9,0.5070336512,0.2123164454,0.2123164454
56,0.5070305792,0.2123081684,0.2123081684
56.1,0.5070275484,0.2123000231,0.2123000231
56.2,0.5070245584,0.2122920075,0.2122920075
56.3,0.5070216086,0.2122841196,0.2122841196
56.4,0.5070186984,0.2122763574,0.2122763574
56.5,0.5070158274,0.2122687189,0.2122687189
56.6,0.507012995,0.2122612022,0.2122612022
56.7,0.5070102007,0.2122538053,0.2122538053
56.8,0.5070074439,0.2122465266,0.2122465266
56.9,0.5070047242,0.212239364,0.212239364
57,0.5070020411,0.2122323158,0.2122323158
57.1,0.5069993941,0.2122253803,0.2122253803
57.2,0.5069967827,0.2122185556,0.2122185556
57.3,0.5069942063,0.21221184,0.21221184
57.4,0.5069916647,0.2122052318,0.2122052318
57.5,0.5069891572,0.2121987294,0.2121987294
57.6,0.5069866834,0.212192331,0.212192331
57.7,0.5069842429,0.2121860352,0.2121860352
57.8,0.5069818352,0.2121798402,0.2121798402
57.9,0.5069794598,0.2121737445,0.2121737445
58,0.5069771165,0.2121677466,0.2121677466
58.1,0.5069748046,0.2121618448,0.2121618448
58.2,0.5069725238,0.2121560378,0.2121560378
58.3,0.5069702737,0.212150324,0.212150324
58.4,0.5069680538,0.212144702,0.212144702
58.5,0.5069658638,0.2121391703,0.2121391703
58.6,0.5069637033,0.2121337275,0.2121337275
58.7,0.5069615718,0.2121283723,0.2121283723
58.8,0.5069594689,0.2121231032,0.2121231032
58.9,0.5069573943,0.2121179189,0.2121179189
59,0.5069553477,0.2121128181,0.2121128181
59.1,0.5069533285,0.2121077995,0.2121077995
59.2,0.5069513365,0.2121028617,0.2121028617
59.3,0.5069493713,0.2120980036,0.2120980036
59.4,0.5069474325,0.2120932238,0.2120932238
59.5,0.5069455198,0.2120885212,0.2120885212
59.6,0.5069436328,0.2120838945,0.2120838945
59.7,0.5069417712,0.2120793425,0.2120793425
59.8,0.5069399346,0.212074864,0.212074864
59.9,0.5069381227,0.212070458,0.212070458
60,0.5069363351,0.2120661232,0.2120661232
60.1,0.5069345716,0.2120618585,0.2120618585
60.2,0.5069328319,0.2120576629,0.2120576629
60.3,0.5069311155,0.2120535353,0.2120535353
60.4,0.5069294222,0.2120494745,0.2120494745
60.5,0.5069277516,0.2120454795,0.2120454795
60.6,0.5069261035,0.2120415493,0.2120415493
60.7,0.5069244776,0.2120376829,0.2120376829
60.8,0.5069228736,0.2120338792,0.2120338792
60.9,0.5069212911,0.2120301373,0.2120301373
61,0.5069197299,0.2120264562,0.2120264562
61.1,0.5069181897,0.212022835,0.212022835
61.2,0.5069166702,0.2120192726,0.2120192726
61.3,0.5069151711,0.2120157682,0.2120157682
61.4,0.5069136922,0.2120123208,0.2120123208
61.5,0.5069122332,0.2120089296,0.2120089296
61.6,0.5069107938,0.2120055936,0.2120055936
61.7,0.5069093737,0.212002312,0.212002312
61.8,0.5069079728,0.2119990839,0.2119990839
61.9,0.5069065907,0.2119959085,0.2119959085
62,0.5069052271,0.211992785,0.211992785
62.1,0.5069038819,0.2119897124,0.2119897124
62.2,0.5069025548,0.2119866901,0.2119866901
62.3,0.5069012456,0.2119837172,0.2119837172
62.4,0.5068999539,0.2119807929,0.2119807929
62.5,0.5068986796,0.2119779164,0.2119779164
62.6,0.5068974225,0.2119750871,0.2119750871
62.7,0.5068961822,0.2119723041,0.2119723041
62.8,0.5068949586,0.2119695667,0.2119695667
62.9,0.5068937515,0.2119668743,0.2119668743
63,0.5068925606,0.2119642259,0.2119642259
