t,Ti_20C,Ti_40C,Ti_60C,Ti_80C
1.167500000000000000e+03,9.361283990489501772e-01,1.872256798097900354e+00,2.808385197146851198e+00,3.744513596195800709e+00
1.168000000000000000e+03,9.348271283651833352e-01,1.869654256730366670e+00,2.804481385095547896e+00,3.739308513460733341e+00
1.168500000000000000e+03,9.335276665202316693e-01,1.867055333040463339e+00,2.800582999560692343e+00,3.734110666080926677e+00
1.169000000000000000e+03,9.322300109997264661e-01,1.864460021999452932e+00,2.796690032999174846e+00,3.728920043998905864e+00
1.169500000000000000e+03,9.309341592927562470e-01,1.861868318585512494e+00,2.792802477878268519e+00,3.723736637171024988e+00
1.170000000000000000e+03,9.296401088919395983e-01,1.859280217783879197e+00,2.788920326675814909e+00,3.718560435567758393e+00
1.170500000000000000e+03,9.283478572933430151e-01,1.856695714586686030e+00,2.785043571880023716e+00,3.713391429173372060e+00
1.171000000000000000e+03,9.270574019965468482e-01,1.854114803993093696e+00,2.781172205989632662e+00,3.708229607986187393e+00
1.171500000000000000e+03,9.257687405045738060e-01,1.851537481009147612e+00,2.777306221513715645e+00,3.703074962018295224e+00
1.172000000000000000e+03,9.244818703239559010e-01,1.848963740647911802e+00,2.773445610971858599e+00,3.697927481295823604e+00
1.172500000000000000e+03,9.231967889646490733e-01,1.846393577929298147e+00,2.769590366893940558e+00,3.692787155858596293e+00
1.173000000000000000e+03,9.219134939401113504e-01,1.843826987880222701e+00,2.765740481820328167e+00,3.687653975760445402e+00
1.173500000000000000e+03,9.206319827672208023e-01,1.841263965534441605e+00,2.761895948301654080e+00,3.682527931068883209e+00
1.174000000000000000e+03,9.193522529663402665e-01,1.838704505932680533e+00,2.758056758899012362e+00,3.677409011865361066e+00
1.174500000000000000e+03,9.180743020612467387e-01,1.836148604122493477e+00,2.754222906183731112e+00,3.672297208244986955e+00
1.175000000000000000e+03,9.167981275791927676e-01,1.833596255158385535e+00,2.750394382737571863e+00,3.667192510316771070e+00
1.175500000000000000e+03,9.155237270508336245e-01,1.831047454101667249e+00,2.746571181152494656e+00,3.662094908203334498e+00
1.176000000000000000e+03,9.142510980102934726e-01,1.828502196020586945e+00,2.742753294030872091e+00,3.657004392041173890e+00
1.176500000000000000e+03,9.129802379950857638e-01,1.825960475990171528e+00,2.738940713985250408e+00,3.651920951980343055e+00
1.177000000000000000e+03,9.117111445461865138e-01,1.823422289092373028e+00,2.735133433638552880e+00,3.646844578184746055e+00
1.177500000000000000e+03,9.104438152079513680e-01,1.820887630415902736e+00,2.731331445623846665e+00,3.641775260831805472e+00
1.178000000000000000e+03,9.091782475281848797e-01,1.818356495056369759e+00,2.727534742584547978e+00,3.636712990112739519e+00
1.178500000000000000e+03,9.079144390580682344e-01,1.815828878116136469e+00,2.723743317174193379e+00,3.631657756232272938e+00
1.179000000000000000e+03,9.066523873522162047e-01,1.813304774704432409e+00,2.719957162056641842e+00,3.626609549408864819e+00
1.179500000000000000e+03,9.053920899686148660e-01,1.810784179937229732e+00,2.716176269905834051e+00,3.621568359874459464e+00
1.180000000000000000e+03,9.041335444686726674e-01,1.808267088937345335e+00,2.712400633406007788e+00,3.616534177874690670e+00
1.180500000000000000e+03,9.028767484171581481e-01,1.805753496834316296e+00,2.708630245251464785e+00,3.611506993668632592e+00
1.181000000000000000e+03,9.016216993822554482e-01,1.803243398764510896e+00,2.704865098146762570e+00,3.606486797529021793e+00
1.181500000000000000e+03,9.003683949355006932e-01,1.800736789871001386e+00,2.701105184806490200e+00,3.601473579742002773e+00
